000002|Thanks for watching!|Thanks for watching!
000003|You'll be fine.|You'll be fine.
000004|What do you have bring out? Is she springing out? No, no.|What do you have bring out? Is she springing out? No, no.
000006|You know, she's soft right now.|You know, she's soft right now.
000007|Thanks for watching!|Thanks for watching!
000008|that they told me how we are, they put me on PB's website.|that they told me how we are, they put me on PB's website.
000009|So, she's not telling me she was pregnant, I've not even...|So, she's not telling me she was pregnant, I've not even...
000010|He was coming at her knees and his leg took it, she was holding and she was going to his front.|He was coming at her knees and his leg took it, she was holding and she was going to his front.
000011|Obviously, me and you, we are with him. I'm sending down a message, I'm sending down a message.|Obviously, me and you, we are with him. I'm sending down a message, I'm sending down a message.
000013|That one was not like...|That one was not like...
000014|How a gymnast should be at the front? Are we not able to walk in? Like, it's me and Therese that are not able to walk in. A gymnast should be able to be at the front.|How a gymnast should be at the front? Are we not able to walk in? Like, it's me and Therese that are not able to walk in. A gymnast should be able to be at the front.
000015|Like, I don't know if she was, but they don't have anything to say.|Like, I don't know if she was, but they don't have anything to say.
000016|So it's now, when they're not saying anything now, like...|So it's now, when they're not saying anything now, like...
000017|She should have come to work today, but she was not feeling fine.|She should have come to work today, but she was not feeling fine.
000018|I shouldn't have said I should be at the front, I should be at the back. I'm like, uh-uh.|I shouldn't have said I should be at the front, I should be at the back. I'm like, uh-uh.
000019|I mean you are right|I mean you are right
000020|That's not the way to tell somebody, at least tell me they are home|That's not the way to tell somebody, at least tell me they are home
000021|Not Lucy, you go to the front What's that? I don't even know how to talk|Not Lucy, you go to the front What's that? I don't even know how to talk
000023|Maybe I'm doing something or I'm talking to someone or she's to look.|Maybe I'm doing something or I'm talking to someone or she's to look.
000024|But look at me in a weird way, like, and then I was still trying to look her hand out, she was still giving me that same look.|But look at me in a weird way, like, and then I was still trying to look her hand out, she was still giving me that same look.
000025|That's the mechanism. Don't cause some petrification or something. Look at the petrification.|That's the mechanism. Don't cause some petrification or something. Look at the petrification.
000026|People have given me a bad look. I feel like I did not do things to people. I did not do anything to them.|People have given me a bad look. I feel like I did not do things to people. I did not do anything to them.
000027|I don't talk to you. I don't do anything.|I don't talk to you. I don't do anything.
000028|Don't you say that thing, I just took down her mic. Why should I go to the f-|Don't you say that thing, I just took down her mic. Why should I go to the f-
000029|Literally, when it comes as we both stand up, what should I be the one to go to? I'm not saying that I should go to the.|Literally, when it comes as we both stand up, what should I be the one to go to? I'm not saying that I should go to the.
000030|But the way Fatima presented it, it was worth it|But the way Fatima presented it, it was worth it
000031|She does not even present what is supposed to sing to me. So I looked at the rest and I'm like, sorry if I'm not asking a question, I don't know if it's personal, but kind of anxious, like, she's not laughing at me, I'm like, are you pregnant?|She does not even present what is supposed to sing to me. So I looked at the rest and I'm like, sorry if I'm not asking a question, I don't know if it's personal, but kind of anxious, like, she's not laughing at me, I'm like, are you pregnant?
000033|He just said something He is presenting in a better way|He just said something He is presenting in a better way
000034|Like she know what somebody did.|Like she know what somebody did.
000035|Yeah, sure. Yeah, so as I did, we figured out what to do...|Yeah, sure. Yeah, so as I did, we figured out what to do...
000036|I was on, oh, she came to call me to please do the breakfast.|I was on, oh, she came to call me to please do the breakfast.
000037|I can't bend, my wrist is paining me, but I feel like...|I can't bend, my wrist is paining me, but I feel like...
000038|You're not supposed to be all bendy. Those girls who take she's...|You're not supposed to be all bendy. Those girls who take she's...
000039|She brought in trolley from the kitchen.|She brought in trolley from the kitchen.
000040|this practice limit or distance because what if I was not there, what would you call?|this practice limit or distance because what if I was not there, what would you call?
000041|Who is going to tell the nurse? The nurse wasn't Mr. Ola or Mr. Ola, like you said.|Who is going to tell the nurse? The nurse wasn't Mr. Ola or Mr. Ola, like you said.
000043|I feel like, man, we are close, but once it's over, first it's over.|I feel like, man, we are close, but once it's over, first it's over.
000044|you just make an audience. Or you go see us and I can't stay, it's not enough to see us or you are a member of the world.|you just make an audience. Or you go see us and I can't stay, it's not enough to see us or you are a member of the world.
000045|Why are you on mute? Because Teresa is not dead|Why are you on mute? Because Teresa is not dead
000046|again at your work, they say I was a woman but she wasn't. They called us to go to the hospital because the job pulled harder, you don't need the surgery.|again at your work, they say I was a woman but she wasn't. They called us to go to the hospital because the job pulled harder, you don't need the surgery.
000047|This is the kind of video that I do like to ensue.|This is the kind of video that I do like to ensue.
000048|I've been out there, I've been out there, I've been out there.|I've been out there, I've been out there, I've been out there.
000049|It's true. You keep it clean. Clean is just how many meanings.|It's true. You keep it clean. Clean is just how many meanings.
000050|That's what I see.|That's what I see.
000051|You are going to work to look for friends to do illegal because there is literally nothing they are doing. Yes, they are just gossiping, talking nonsense and it doesn't make any sense.|You are going to work to look for friends to do illegal because there is literally nothing they are doing. Yes, they are just gossiping, talking nonsense and it doesn't make any sense.
000053|Tell me, I can't even have a new friend in that place.|Tell me, I can't even have a new friend in that place.
000054|Why should I have a friend? The only person I feel that is my friend, I talk to very little is young A4 than me, I don't talk to people.|Why should I have a friend? The only person I feel that is my friend, I talk to very little is young A4 than me, I don't talk to people.
000055|Even that foolish one is calling myself Afro and she's very stupid.|Even that foolish one is calling myself Afro and she's very stupid.
000056|Who is that? I don't know, I don't know.|Who is that? I don't know, I don't know.
000057|I don't have any friends in general, friends I have showed me shake a plaster|I don't have any friends in general, friends I have showed me shake a plaster
000058|It's my nephew, he got it when he came to my house, it's plaster because it has all these little things|It's my nephew, he got it when he came to my house, it's plaster because it has all these little things
000059|Let's go to sleep.|Let's go to sleep.
000061|Actually, I didn't do it on purpose, you know?|Actually, I didn't do it on purpose, you know?
000062|I don't want to cut my nose because I want to do um, I find this deeply-|I don't want to cut my nose because I want to do um, I find this deeply-
000064|Yeah, there's no excuse|Yeah, there's no excuse
000065|I don't want solutions without like you getting upset with me.|I don't want solutions without like you getting upset with me.
